产品号码,depart
02887820528,财务部
02887825578,财务部
02887843608,财务部
02887830682,光缆车间
02887823990,光缆车间
02887820638,设备部
02887830683,设备部
02887843606,设备部
02887820286,市场部
02887825194,市场部
02887830880,市场部
02887830881,市场部
02887830882,市场部
02887830883,市场部
02887830898,市场部
02887830899,市场部
02887830955,市场部
02886105353,市场部
02887843602,同轴车间
02882141122,同轴车间
02887820511,运筹部
02887824022,运筹部
02887843555,运筹部
02887843610,运筹部
02887843611,采购部
02887843604,采购部
02887820299,采购部
02887830681,运营质量部
02887830968,运营质量部
02887843601,运营质量部
02887823961,综合部
02887830969,综合部
02887820699,综合部
02887843609,综合部
02887830958,综合部
028ADCDDTXLYXGS,综合成本中心 (光纤)
18109074782,综合成本中心 (手机)
18108146782,综合成本中心 (手机)
18108146309,综合成本中心 (手机)
18108145965,综合成本中心 (手机)
18108145835,综合成本中心 (手机)
18108104463,综合成本中心 (手机)
18108067598,综合成本中心 (手机)
18108048796,综合成本中心 (手机)
18108046755,综合成本中心 (手机)
18108044369,综合成本中心 (手机)
18108042576,综合成本中心 (手机)
18081894455,综合成本中心 (手机)
02887843605,综合成本中心（总机）
02887820158,综合成本中心（总机）
02887830960,综合成本中心
02887830066,综合成本中心
02887843688,综合成本中心
02887843699,综合成本中心
